B.E.(eV)	Raw	Intensity	1	Sum	Background	Peak
780.88	13972.37	70777.27	60146.43	10554.49	76.3399999999965	3341.531
780.78	12816.43	69706.29	60146.07	9484.77	75.4400000000023	3256.211
780.68	11146.65	68754.06	60145.75	8533.76	74.5599999999977	2538.336
780.58	9920.62	67912.19	60145.48	7693.01	73.6899999999951	2153.914
780.48	8627.46	67169.55	60145.24	6951.47000000001	72.8400000000038	1603.156
780.38	6868.56000000001	66516.91	60145.04	6299.87	72	496.6953
780.28	6401.34	65943.84	60144.86	5727.81	71.1800000000003	602.3594
780.18	5625.7	65440.66	60144.7	5225.59	70.3700000000026	329.7422
780.08	5445.93	64999.15	60144.57	4785.01	69.5699999999997	591.3516
779.98	4326.65	64610.72	60144.45	4397.49000000001	68.7900000000009	-139.6211
779.88	4836.84	64268.62	60144.36	4056.24	68.0100000000021	712.582
779.78	3723.73	63966.17	60144.27	3754.64000000001	67.2600000000021	-98.16797
779.68	3924.09	63697.62	60144.21	3486.9	66.5100000000021	370.6797
779.58	2472.94	63458.45	60144.16	3248.5	65.7799999999989	-841.3438
779.48	2503.69	63244.2	60144.11	3035.03	65.0599999999977	-596.4023
779.38	1918.72	63051.64	60144.08	2843.21	64.3499999999986	-988.8398
779.28	1611.14999999999	62877.64	60144.05	2669.94	63.6599999999962	-1122.445
779.18	1643.17	62719.64	60144.03	2512.64	62.9700000000012	-932.4414
779.08	1052.08	62575.73	60144.02	2369.42000000001	62.2900000000009	-1379.633
778.98	1360.9	62444	60144	2238.36	61.6399999999994	-939.0977
778.88	429	62323.12	60144	2118.14	60.9800000000032	-1750.121
778.78	1409.71	62211.79	60143.99	2007.46	60.3400000000038	-658.0898
778.68	734.010000000002	62108.9	60143.99	1905.21	59.7099999999991	-1230.898
778.58	987.900000000002	62013.68	60144	1810.6	59.0699999999997	-881.7773
778.48	243.400000000002	61925.25	60144	1722.78	58.4700000000012	-1537.848
778.38	362.689999999995	61843.05	60144.01	1641.18	57.8699999999954	-1336.355
778.28	763.980000000003	61766.46	60144.02	1565.18	57.2700000000041	-858.4648
778.18	182.659999999996	61694.93	60144.04	1494.21	56.6800000000003	-1368.23
778.08	-615.150000000002	61628.09	60144.05	1427.93	56.1100000000006	-2099.191
777.98	-73.6599999999962	61565.46	60144.06	1365.87	55.5400000000009	-1495.066
