	CuBa-Cu-air		CuBa-Cu-400mA		Cu foil
9093.9584	1.27482468	9093.9584	1.26727235	9226.6605	1.3204256
9096.0451	1.27847016	9096.0451	1.26175824	9230.3528	1.3026816
9098.1508	1.28187136	9098.1508	1.25445754	9234.0889	1.28642235
9100.2755	1.28386438	9100.2755	1.25248363	9237.8486	1.27457524
9102.4193	1.28556274	9102.4193	1.25770323	9241.6319	1.27011142
9104.582	1.29095347	9104.582	1.26440464	9245.4388	1.2724304
9106.7638	1.29154661	9106.7638	1.27512414	9249.2695	1.27644995
9108.9646	1.29409565	9108.9646	1.28343493	9253.1444	1.27863996
9111.1844	1.29650895	9111.1844	1.29005532	9257.0226	1.28113286
9113.4232	1.29608526	9113.4232	1.29574474	9260.9453	1.28442958
9115.681	1.29886777	9115.681	1.29901662	9264.8919	1.28874698
9117.9578	1.3013988	9117.9578	1.3016898	9268.8626	1.29458529
9120.2536	1.3038035	9120.2536	1.3023666	9272.8779	1.3006571
9122.5685	1.3062928	9122.5685	1.3089535	9276.8968	1.3051596
9124.9023	1.309368	9124.9023	1.3206699	9280.9606	1.3087534
9127.2552	1.3116248	9127.2552	1.3336609	9285.0486	1.3119208
9129.6271	1.3153589	9129.6271	1.3434172	9289.161	1.3151327
9132.018	1.318374	9132.018	1.3514581	9293.2979	1.3179146
9134.4279	1.3212726	9134.4279	1.3568883	9297.4592	1.3204366
9136.8568	1.3225665	9136.8568	1.3571036	9301.6451	1.3206938
9139.3047	1.3231193	9139.3047	1.352778	9305.8763	1.316878
9141.7716	1.3245364	9141.7716	1.3444214	9310.1323	1.3113196
9144.2576	1.3266399	9144.2576	1.3372139	9314.3922	1.3053539
9146.7625	1.3296598	9146.7625	1.3266951	9318.6978	1.29944311
9149.2865	1.3284169	9149.2865	1.3152535	9323.0282	1.29574629
9151.8295	1.3275813	9151.8295	1.3002995	9327.3836	1.29519033
9154.3915	1.326172	9154.3915	1.28835249	9331.785	1.2955536
9156.9725	1.3272592	9156.9725	1.27945782	9336.1905	1.29359748
9159.5725	1.3239154	9159.5725	1.27247894	9340.6213	1.28899841
9162.1915	1.3171358	9162.1915	1.26860508	9345.0982	1.2845019
9164.8296	1.312829	9164.8296	1.27216017	9349.6005	1.28460884
9167.4866	1.3095959	9167.4866	1.28202822	9354.1072	1.28753539
9170.1627	1.305062	9170.1627	1.28869781	9358.6603	1.28922792
9172.8578	1.3030184	9172.8578	1.29594725	9363.239	1.2914788
9175.5718	1.2995323	9175.5718	1.29910667	9367.8433	1.29412167
9178.3049	1.29477028	9178.3049	1.301586	9372.4733	1.29676569
9181.057	1.29519522	9181.057	1.3021112	9377.1502	1.29926087
9183.8282	1.29453404	9183.8282	1.3038465	9381.8318	1.3017744
9186.6183	1.29073144	9186.6183	1.3016408	9386.5394	1.3040079
